T,point,F,K,sigma,k,w
0.0194,25Δ Put,1.4999796301383117,1.4836192730382316,0.121,-0.010966970835173501,0.0002840354
0.04166,ATM,1.499925013874369,1.4767103573378508,0.1215,-0.015598233794951557,0.000614995335
0.0833,25Δ Call,1.4998875492152703,1.471851275248311,0.1105,-0.018869158742689088,0.001017113825
0.1666,25Δ Put,1.499875055204023,1.4646871510545827,0.113,-0.02374013721212151,0.0021273154
0.25,ATM,1.5001875117192385,1.460874328327985,0.1224,-0.02655499661086209,0.0037454399999999996
0.3333,25Δ Call,1.5000999933327406,1.4629016011442975,0.1236,-0.02510990660669073,0.005091810768
0.4166,25Δ Put,1.4997500608255105,1.4678947237547602,0.125,-0.021469254550931894,0.006509375
0.5,ATM,1.5004500675067505,1.4785981658595875,0.116,-0.014670654425539295,0.0067280000000000005
0.75,25Δ Call,1.5011254219804886,1.5212173504928395,0.1175,0.013295794692104571,0.0103546875
1.0,25Δ Put,1.5009002700540082,1.613787434918714,0.1322,0.07251875227242399,0.017476840000000004
1.25,ATM,1.5015007502500626,1.8227283445461107,0.136,0.19386936087615542,0.02312
1.5,25Δ Call,1.498650607317791,,0.14,,0.029400000000000003
2.0,25Δ Put,1.4976019189764096,,0.1411,,0.03981842
3.0,ATM,1.497527040752432,,0.1433,,0.061604670000000014
4.0,25Δ Call,1.4988004798720256,,0.1445,,0.08352099999999998
5.0,25Δ Put,1.4977516866565663,,0.145,,0.105125
0.0194,ATM,1.4999796301383117,1.4999796301383117,0.118,0.0,0.0002701256
0.04166,25Δ Call,1.499925013874369,1.499925013874369,0.1182,0.0,0.0005820418584
0.0833,25Δ Put,1.4998875492152703,1.4998875492152703,0.1015,0.0,0.000858177425
0.1666,ATM,1.499875055204023,1.499875055204023,0.1029,0.0,0.001764029106
0.25,25Δ Call,1.5001875117192385,1.5001875117192385,0.115,0.0,0.00330625
0.3333,25Δ Put,1.5000999933327406,1.5000999933327406,0.116,0.0,0.0044848848
0.4166,ATM,1.4997500608255105,1.4997500608255105,0.118,0.0,0.0058007384
0.5,25Δ Call,1.5004500675067505,1.5004500675067505,0.105,0.0,0.005512499999999999
0.75,25Δ Put,1.5011254219804886,1.5011254219804886,0.108,0.0,0.008747999999999999
1.0,ATM,1.5009002700540082,1.5009002700540082,0.121,0.0,0.014641
1.25,25Δ Call,1.5015007502500626,1.5015007502500626,0.124,0.0,0.019219999999999998
1.5,25Δ Put,1.498650607317791,1.498650607317791,0.132,0.0,0.026136000000000003
2.0,ATM,1.4976019189764096,1.4976019189764096,0.135,0.0,0.03645
3.0,25Δ Call,1.497527040752432,1.497527040752432,0.1375,0.0,0.05671875000000001
4.0,25Δ Put,1.4988004798720256,1.4988004798720256,0.14,0.0,0.07840000000000001
5.0,ATM,1.4977516866565663,1.4977516866565663,0.141,0.0,0.09940499999999998
0.0194,25Δ Call,1.4999796301383117,1.5168797943311458,0.1205,0.011203930048871208,0.00028169284999999996
0.04166,25Δ Put,1.499925013874369,1.5241310319153,0.12,0.016009316407359593,0.0005999040000000001
0.0833,ATM,1.4998875492152703,1.5312858583810824,0.115,0.0207176746468031,0.0011016425
0.1666,25Δ Call,1.499875055204023,1.5377145872163736,0.109,0.024915471772754362,0.0019793745999999997
0.25,25Δ Put,1.5001875117192385,1.5423397095129812,0.1125,0.027710447252630638,0.0031640625
0.3333,ATM,1.5000999933327406,1.545033736735317,0.121,0.029513978077779852,0.0048798452999999995
0.4166,25Δ Call,1.4997500608255105,1.540004590462117,0.119,0.026486929132487125,0.0058994725999999996
0.5,25Δ Put,1.5004500675067505,1.530312546442655,0.108,0.019706885154812476,0.0058319999999999995
0.75,ATM,1.5011254219804886,1.4966754728985445,0.116,-0.0029688111428435946,0.010092
1.0,25Δ Call,1.5009002700540082,1.4228763643901585,0.1275,-0.05338467654866886,0.01625625
1.25,25Δ Put,1.5015007502500626,1.2732643056573683,0.131,-0.16488118584394373,0.021451250000000005
1.5,ATM,1.498650607317791,,0.133,,0.026533500000000005
2.0,25Δ Call,1.4976019189764096,,0.1388,,0.03853088
3.0,25Δ Put,1.497527040752432,,0.14,,0.058800000000000005
4.0,ATM,1.4988004798720256,,0.1405,,0.07896100000000002
5.0,25Δ Call,1.4977516866565663,,0.139,,0.09660500000000002
